,0
0,0.23103617
1,0.14344814
2,0.21005593
3,0.20505066
4,0.24093004
5,0.2037217
6,0.15439877
7,0.18671173
8,0.18146479
9,0.20275943
10,0.18597876
11,0.21078531
12,0.24140611
13,0.23217718
14,0.3359357
15,0.30092967
16,0.16415305
17,0.19165337
18,0.26063144
19,0.29410893
20,0.25596377
21,0.29360288
22,0.25159383
23,0.2846865
24,0.24792425
25,0.20495985
26,0.23057131
27,0.25016323
28,0.2050103
29,0.25081256
30,0.2011621
31,0.2167193
32,0.19135295
33,0.20883673
34,0.2096133
35,0.16707039
36,0.27718067
37,0.32642108
38,0.16748351
39,0.20957634
40,0.22024477
41,0.2387143
42,0.1941442
43,0.17966767
44,0.21559653
45,0.2503856
46,0.18742245
47,0.23150644
48,0.21450582
49,0.24548085
50,0.21515419
51,0.31732622
52,0.22069475
53,0.3012937
54,0.23169819
55,0.3672101
56,0.20720352
57,0.27714235
58,0.27365083
59,0.19360933
60,0.20406035
61,0.2591034
62,0.21116921
63,0.25588334
64,0.192164
65,0.17722562
66,0.21415484
67,0.20914364
68,0.20788781
69,0.22609448
70,0.19382901
71,0.18823214
72,0.18885985
73,0.18917401
74,0.18597287
75,0.2068797
76,0.21076174
77,0.15231383
78,0.173074
79,0.16583665
80,0.40523353
81,0.31062374
82,0.38066864
83,0.36568874
84,0.35128745
85,0.20111404
86,0.29927713
87,0.23090295
88,0.36101773
89,0.46550563
90,0.5144372
91,0.36852923
92,0.49346998
93,0.42904043
94,0.40452614
95,0.45803943
96,0.53533053
