,0
0,0.5071029
1,0.45209327
2,0.5178985
3,0.43084893
4,0.5583338
5,0.33752358
6,0.47749236
7,0.3109054
8,0.39040923
9,0.3109054
10,0.45209327
11,0.43084893
12,0.43084893
13,0.27809137
14,0.41984537
15,0.4188769
16,0.3930291
17,0.391104
18,0.5583338
19,0.36652523
20,0.6614565
21,0.62566644
22,0.40863714
23,0.5263939
24,0.51129615
25,0.34042603
26,0.34042603
27,0.62566644
28,0.40611386
29,0.51129615
30,0.49978188
31,0.5377896
32,0.5377896
33,0.333482
34,0.42274743
35,0.36652523
36,0.40863714
37,0.40611386
38,0.38369602
39,0.46889088
40,0.4843729
41,0.38369602
42,0.4359342
43,0.52135164
44,0.61996573
45,0.43206847
46,0.36920235
47,0.55044216
48,0.45513612
49,0.43206847
50,0.40928277
51,0.5314613
52,0.50433576
53,0.45513612
54,0.47053874
55,0.5794119
56,0.52135164
57,0.63695955
58,0.6060987
59,0.50579065
60,0.3786899
61,0.5476311
62,0.5627871
63,0.6060987
64,0.36939928
65,0.5627871
66,0.63695955
67,0.4100597
68,0.50579065
69,0.36939928
70,0.58636135
71,0.57267356
72,0.6060987
73,0.5828115
74,0.5693601
75,0.45188892
76,0.4292131
77,0.6307767
78,0.7632604
79,0.7632604
80,0.47482237
81,0.39369962
82,0.47482237
83,0.50700074
84,0.5941693
85,0.4713884
86,0.5848009
87,0.5848009
88,0.4129624
89,0.47482237
90,0.4742778
91,0.6251632
92,0.4650017
93,0.5531541
94,0.7058758
95,0.34150058
96,0.44183928
97,0.48604643
98,0.34150058
99,0.5722042
100,0.560516
101,0.3720421
102,0.3630658
103,0.34535587
104,0.38113847
105,0.41516176
106,0.3423496
107,0.47269443
108,0.35383737
109,0.34703574
110,0.34535587
111,0.31161338
112,0.34374216
113,0.51742494
114,0.4876206
115,0.44012105
116,0.54475117
117,0.33329973
118,0.46642917
119,0.48616403
120,0.44012105
121,0.4876206
122,0.36407524
123,0.48616403
124,0.46363863
125,0.54475117
126,0.46642917
127,0.3382134
128,0.46642917
129,0.46363863
130,0.46668863
131,0.5069281
132,0.42376438
133,0.6390437
134,0.38025662
135,0.5872112
136,0.59626466
137,0.779408
138,0.6088369
139,0.3673143
140,0.3496396
141,0.70564824
142,0.32565755
143,0.4519495
144,0.35955295
145,0.37348914
146,0.5872112
147,0.4519495
148,0.3961316
149,0.779408
150,0.4662235
151,0.779408
152,0.65050393
153,0.70588356
154,0.5253358
155,0.62716746
156,0.70588356
157,0.600803
158,0.5168611
159,0.6866176
160,0.5582722
161,0.63074315
162,0.6001383
163,0.5582722
164,0.600803
165,0.5253358
166,0.5168611
167,0.6001383
168,0.6804357
169,0.5253358
170,0.5582722
171,0.44795477
172,0.45263177
173,0.4582337
174,0.44795477
175,0.5880583
176,0.47560403
177,0.37712345
178,0.6449099
179,0.62406886
180,0.431197
181,0.62406886
182,0.6449099
183,0.4061742
184,0.5419228
185,0.5419228
186,0.52131337
187,0.50614417
188,0.4577966
189,0.36370018
190,0.4774095
