,0
0,0.23103617
1,0.14344814
2,0.18597876
3,0.21078531
4,0.24140611
5,0.23217718
6,0.3359357
7,0.30092967
8,0.16415305
9,0.19165337
10,0.26063144
11,0.29410893
12,0.21005593
13,0.25596377
14,0.29360288
15,0.25159383
16,0.2846865
17,0.24792425
18,0.20495985
19,0.23057131
20,0.25016323
21,0.2050103
22,0.25081256
23,0.20505066
24,0.2011621
25,0.2167193
26,0.19135295
27,0.20883673
28,0.2096133
29,0.16707039
30,0.27718067
31,0.32642108
32,0.16748351
33,0.20957634
34,0.24093004
35,0.22024477
36,0.2387143
37,0.1941442
38,0.17966767
39,0.21559653
40,0.2503856
41,0.18742245
42,0.23150644
43,0.21450582
44,0.24548085
45,0.2037217
46,0.21515419
47,0.31732622
48,0.22069475
49,0.3012937
50,0.23169819
51,0.3672101
52,0.20720352
53,0.27714235
54,0.27365083
55,0.19360933
56,0.15439877
57,0.20406035
58,0.2591034
59,0.21116921
60,0.25588334
61,0.192164
62,0.17722562
63,0.21415484
64,0.20914364
65,0.20788781
66,0.22609448
67,0.18671173
68,0.19382901
69,0.18823214
70,0.18885985
71,0.18917401
72,0.18597287
73,0.2068797
74,0.21076174
75,0.15231383
76,0.173074
77,0.16583665
78,0.18146479
79,0.40523353
80,0.31062374
81,0.38066864
82,0.36568874
83,0.35128745
84,0.20111404
85,0.29927713
86,0.23090295
87,0.36101773
88,0.46550563
89,0.20275943
90,0.5144372
91,0.36852923
92,0.49346998
93,0.42904043
94,0.40452614
95,0.45803943
96,0.53533053
97,0.22958516
98,0.40305436
99,0.2788193
100,0.28890586
101,0.3290084
102,0.22813562
103,0.22261237
104,0.27506816
105,0.35200447
106,0.3106826
107,0.30385673
108,0.39666438
109,0.5145613
110,0.3530206
